bizym,forecast_offset,actual_month_total,workdays,days,prev_year_ym,prev_2year_ym,has_y1_y2_history,anchor_date,forecast_start_date,anchor_wd_seq,max_wd_seq,remaining_workdays_after_anchor,anchor_mtd_qty,anchor_mtd_num_hosp,split
202401,5,2686281.0,22,31,202301,202201,True,2024-01-25,2024-01-26,18,22,4,2290259.0,9991.0,train
202401,10,2686281.0,22,31,202301,202201,True,2024-01-18,2024-01-19,13,22,9,1724476.0,7371.0,train
202402,5,1223031.0,18,29,202302,202202,True,2024-02-23,2024-02-24,14,18,4,917906.0,4838.0,train
202402,10,1223031.0,18,29,202302,202202,True,2024-02-18,2024-02-19,9,18,9,670958.0,3077.0,train
202403,5,1955574.0,21,31,202303,202203,True,2024-03-25,2024-03-26,17,21,4,1608772.0,9107.0,train
202403,10,1955574.0,21,31,202303,202203,True,2024-03-18,2024-03-19,12,21,9,1177165.0,6681.0,train
202404,5,2077981.0,22,30,202304,202204,True,2024-04-25,2024-04-26,18,22,4,1768946.0,10075.0,train
202404,10,2077981.0,22,30,202304,202204,True,2024-04-18,2024-04-19,13,22,9,1267439.0,7235.0,train
202405,5,1877693.0,21,31,202305,202205,True,2024-05-27,2024-05-28,17,21,4,1589318.0,9053.0,train
202405,10,1877693.0,21,31,202305,202205,True,2024-05-20,2024-05-21,12,21,9,1164507.0,6556.0,train
202406,5,2011194.0,19,30,202306,202206,True,2024-06-24,2024-06-25,15,19,4,1548805.0,8633.0,train
202406,10,2011194.0,19,30,202306,202206,True,2024-06-17,2024-06-18,10,19,9,1078495.0,5998.0,train
202407,5,2120411.0,23,31,202307,202207,True,2024-07-25,2024-07-26,19,23,4,1739056.0,10890.0,train
202407,10,2120411.0,23,31,202307,202207,True,2024-07-18,2024-07-19,14,23,9,1308351.0,8350.0,train
202408,5,2158398.0,22,31,202308,202208,True,2024-08-26,2024-08-27,18,22,4,1763251.0,10284.0,train
202408,10,2158398.0,22,31,202308,202208,True,2024-08-19,2024-08-20,13,22,9,1337921.0,7652.0,train
202409,5,2538576.0,21,30,202309,202209,True,2024-09-25,2024-09-26,17,21,4,2102643.0,11365.0,train
202409,10,2538576.0,21,30,202309,202209,True,2024-09-18,2024-09-19,12,21,9,1420274.0,7622.0,train
202410,5,1983565.0,19,31,202310,202210,True,2024-10-25,2024-10-26,15,19,4,1568464.0,9567.0,train
202410,10,1983565.0,19,31,202310,202210,True,2024-10-18,2024-10-19,10,19,9,1086861.0,6541.0,train
202411,5,2196745.0,21,30,202311,202211,True,2024-11-25,2024-11-26,17,21,4,1823431.0,10683.0,train
202411,10,2196745.0,21,30,202311,202211,True,2024-11-18,2024-11-19,12,21,9,1326740.0,7665.0,train
202412,5,2384866.0,22,31,202312,202212,True,2024-12-25,2024-12-26,18,22,4,1982427.0,11178.0,train
202412,10,2384866.0,22,31,202312,202212,True,2024-12-18,2024-12-19,13,22,9,1489438.0,8402.0,train
