bizym,target_month_workdays,target_month_nonworkdays,target_month_weekend_days,target_month_lunar_holiday_days,target_month_spring_festival_core_days,target_month_spring_festival_days,target_month_spring_festival_spans_adjacent_month
202201,21,10,10,2,1,0,1
202202,16,12,8,8,7,7,1
202203,23,8,8,0,0,0,0
202204,21,9,9,0,0,0,0
202205,20,11,9,0,0,0,0
202206,21,9,8,1,0,0,0
202207,21,10,10,0,0,0,0
202208,23,8,8,1,0,0,0
202209,21,9,8,1,0,0,0
202210,18,13,10,1,0,0,0
202211,22,8,8,0,0,0,0
202212,22,9,9,1,0,0,0
202301,18,13,9,8,8,7,0
202302,20,8,8,1,0,0,0
202303,23,8,8,0,0,0,0
202304,20,10,10,0,0,0,0
202305,21,10,8,0,0,0,0
202306,21,9,8,1,0,0,0
202307,21,10,10,0,0,0,0
202308,23,8,8,1,0,0,0
202309,20,10,9,1,0,0,0
202310,19,12,9,1,0,0,0
202311,22,8,8,0,0,0,0
202312,21,10,10,0,0,0,0
202401,22,9,8,1,0,0,0
202402,18,11,8,9,8,7,0
202403,21,10,10,0,0,0,0
202404,22,8,8,0,0,0,0
202405,21,10,8,0,0,0,0
202406,19,11,10,1,0,0,0
202407,23,8,8,0,0,0,0
202408,22,9,9,1,0,0,0
202409,21,9,9,1,0,0,0
202410,19,12,8,1,0,0,0
202411,21,9,9,0,0,0,0
202412,22,9,9,0,0,0,0
202501,19,12,8,5,4,3,1
202502,19,9,8,5,4,4,1
202503,21,10,10,0,0,0,0
202504,22,8,8,0,0,0,0
202505,19,12,9,1,0,0,0
202506,20,10,9,0,0,0,0
202507,23,8,8,0,0,0,0
202508,21,10,10,1,0,0,0
202509,23,7,8,0,0,0,0
202510,18,13,8,2,0,0,0
202511,20,10,10,0,0,0,0
202512,23,8,8,0,0,0,0
202601,21,10,9,1,0,0,0
202602,16,12,8,8,8,7,0
202603,22,9,9,1,0,0,0
202604,21,9,8,0,0,0,0
